seriesId,platformId,platformUrl
1ef30d3f-c82f-677e-94ab-70fbf051902f,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.1acb9bb5-0f3d-40c6-a571-4cfd71e8a2e3
1ef30d3f-c82f-677e-94ab-70fbf051902f,8,http://www.netflix.com/title/81731916
1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,18,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.1969b7bb-942e-41b2-840a-bd5008b354cd
1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,4,https://tv.apple.com/gb/show/power-book-ii-ghost/umc.cmc.3rrpagriawr6glib94ekgpnes?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.df74e3ab-f6ad-41e6-bbf6-eb230a0b8c87
1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxn805x
1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,5,https://www.skystore.com/product/power-book-ii-ghost-season-1/29ecdda0-25d7-4278-b14a-a2e7f663d05e
1ef30d3f-dfa1-67b4-b9b5-5a7e786e7b8a,8,http://www.netflix.com/title/81678765
1ef30d3f-ea6f-6e7b-a518-e8745ae60346,16,https://www.amazon.co.uk/The-Socratic-Method/dp/B00FZV88BC
1ef30d3f-ea6f-6e7b-a518-e8745ae60346,4,https://tv.apple.com/gb/show/house/umc.cmc.1819eevcg6tlw0ifen6ml04fy?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d3f-ea6f-6e7b-a518-e8745ae60346,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwzlcm23
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,11,https://www.sky.com/watch/sky-go/all?uuid=26d134ea-f7ee-4c2f-b360-a94d24907c37&videoId=9063198
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,12,https://www.rakuten.tv/uk/tv_shows/the-last-of-us
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,2,https://www.nowtv.com/watch/the-last-of-us/iYEQZ2rcf32Y4qXCVtkNy1/seasons/1/episodes/1/A5EK65Bcwd6NhgbZhN5NU
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,13,https://uk.chili.com/content/the-last-of-us-2023/ba8ede36-773d-4cdf-aebc-7a41e7577b2c?utm_campaign=buy_box&utm_medium=affiliation&utm_source=justwatch
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,4,https://tv.apple.com/gb/show/the-last-of-us/umc.cmc.43thr5tsmnra1kr4edwimsqvp?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.774660a9-f41a-4d8c-9e46-a81fbbb75167
1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxz1plw
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,8,http://www.netflix.com/title/80014749
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,4,https://tv.apple.com/gb/show/rick-and-morty/umc.cmc.12dp30hnvyq5fbm9716puu8zc?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.faad813a-a567-4039-bd0d-95e5e9a99571
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxn79j2
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,5,https://www.skystore.com/product/rick-and-morty-uncensored-season-1/693787a7-c1e3-446a-932f-a5377fee0bd0
1ef30d40-1279-63d5-b0fc-2fcc718bf59c,7,http://www.channel4.com/programmes/rick-and-morty/on-demand/72076-009
